reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/fabio/hasSequenceIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b12,10.1093/oxfordjournals.eurheartj.a059865,1991-02,Effect Of Acupuncture In Patients With Angina Pectoris,https://w3id.org/oc/meta/id/061703820945,,https://w3id.org/oc/meta/ar/06602399920,https://w3id.org/oc/meta/re/0660435720,https://w3id.org/oc/meta/br/064011893,http://purl.org/spar/fabio/JournalArticle
b13,10.1111/joim.1990.227.issue-1,1990-01,,https://w3id.org/oc/meta/id/0610941488,1,https://w3id.org/oc/meta/ar/06103790623,,https://w3id.org/oc/meta/br/069025565,http://purl.org/spar/fabio/JournalIssue
b14,10.1152/ajpheart.00030.2012,2012-05-01,Cardioprotection Of Electroacupuncture Against Myocardial Ischemia-Reperfusion Injury By Modulation Of Cardiac Norepinephrine Release,https://w3id.org/oc/meta/id/06606164715,,https://w3id.org/oc/meta/ar/061903188033,https://w3id.org/oc/meta/re/06190577858,https://w3id.org/oc/meta/br/06190764350,http://purl.org/spar/fabio/JournalArticle
b15,10.1152/ajpheart.00889.2013,2014-05-15,Electroacupuncture Improves Cardiac Function And Remodeling By Inhibition Of Sympathoexcitation In Chronic Heart Failure Rats,https://w3id.org/oc/meta/id/06190814741,,https://w3id.org/oc/meta/ar/061903182652,https://w3id.org/oc/meta/re/06190577137,https://w3id.org/oc/meta/br/06190764295,http://purl.org/spar/fabio/JournalArticle
b16,10.1016/j.lfs.2007.01.019,2007-03,Acupuncture Pretreatment Protects Heart From Injury In Rats With Myocardial Ischemia And Reperfusion Via Inhibition Of The Β1-Adrenoceptor Signaling Pathway,https://w3id.org/oc/meta/id/06680854125,,https://w3id.org/oc/meta/ar/06206971599,https://w3id.org/oc/meta/re/06201306605,https://w3id.org/oc/meta/br/06201580926,http://purl.org/spar/fabio/JournalArticle
b17,10.3390/molecules191016158,2014-10-09,Electro-Acupuncture At Neiguan Pretreatment Alters Genome-Wide Gene Expressions And Protects Rat Myocardium Against Ischemia-Reperfusion,https://w3id.org/oc/meta/id/062304221409,,https://w3id.org/oc/meta/ar/061706106079,https://w3id.org/oc/meta/re/061701163406,https://w3id.org/oc/meta/br/061701421649,http://purl.org/spar/fabio/JournalArticle
b18,10.1089/acu.2013.0960,2013-04,Acupuncture's Cardiovascular Actions: A Mechanistic Perspective,https://w3id.org/oc/meta/id/06610537205,,https://w3id.org/oc/meta/ar/0619012066825,https://w3id.org/oc/meta/re/061902230228,https://w3id.org/oc/meta/br/061902879212,http://purl.org/spar/fabio/JournalArticle
b19,10.1111/j.0954-6820.1986.tb02770.x,2009-04-24,"Acupuncture In Severe, Stable Angina Pectoris: A Randomized Trial",https://w3id.org/oc/meta/id/06810407199,,https://w3id.org/oc/meta/ar/06207037125,https://w3id.org/oc/meta/re/06201320402,https://w3id.org/oc/meta/br/065033424,http://purl.org/spar/fabio/JournalArticle
b21,10.1186/s12906-015-0586-7,2015-03-28,Effectiveness Of Acupuncture For Angina Pectoris: A Systematic Review Of Randomized Controlled Trials,https://w3id.org/oc/meta/id/061804262574,,https://w3id.org/oc/meta/ar/06110564661,,https://w3id.org/oc/meta/br/062102355,http://purl.org/spar/fabio/JournalArticle
b22,10.3727/036012995816357113,1995,Acupuncture In Angina Pectoris: Do Psycho-Social And Neurophysiological Factors Relate To The Effect?,https://w3id.org/oc/meta/id/06210719224,,https://w3id.org/oc/meta/ar/062102817862,https://w3id.org/oc/meta/re/06210486644,https://w3id.org/oc/meta/br/06210665421,http://purl.org/spar/fabio/JournalArticle
b23,10.1111/joim.1991.229.issue-4,1991-04,,https://w3id.org/oc/meta/id/0610941451,4,https://w3id.org/oc/meta/ar/06103790582,,https://w3id.org/oc/meta/br/069025564,http://purl.org/spar/fabio/JournalIssue
b24,10.1161/circulationaha.107.188208,2008-01-15,2007 Focused Update Of The ACC/AHA/SCAI 2005 Guideline Update For Percutaneous Coronary Intervention,https://w3id.org/oc/meta/id/0668059391,,https://w3id.org/oc/meta/ar/06104870792,https://w3id.org/oc/meta/re/0610919231,https://w3id.org/oc/meta/br/06101145346,http://purl.org/spar/fabio/JournalArticle
b26,10.1186/1745-6215-15-50,2014-02-05,"Acupuncture For Chronic, Stable Angina Pectoris And An Investigation Of The Characteristics Of Acupoint Specificity: Study Protocol For A Multicenter Randomized Controlled Trial",https://w3id.org/oc/meta/id/06430491427,,https://w3id.org/oc/meta/ar/06902585421,,https://w3id.org/oc/meta/br/0616010867,http://purl.org/spar/fabio/JournalArticle
b29,10.1001/jamainternmed.2016.9378,2017-04-01,The Long-term Effect Of Acupuncture For Migraine Prophylaxis,https://w3id.org/oc/meta/id/06502527717,,https://w3id.org/oc/meta/ar/065011338020,https://w3id.org/oc/meta/re/06501991556,https://w3id.org/oc/meta/br/062203792349,http://purl.org/spar/fabio/JournalArticle
b30,10.1016/j.jacc.2012.07.013,2012-12,2012 ACCF/AHA/ACP/AATS/PCNA/SCAI/STS Guideline For The Diagnosis And Management Of Patients With Stable Ischemic Heart Disease,https://w3id.org/oc/meta/id/06104269657,,https://w3id.org/oc/meta/ar/062607730744,https://w3id.org/oc/meta/re/062601449114,https://w3id.org/oc/meta/br/069045907,http://purl.org/spar/fabio/JournalArticle
b32,10.1111/j.1526-4637.2010.01051.x,2011-02,The Effect Of Brief Electrical And Manual Acupuncture Stimulation On Mechanical Experimental Pain,https://w3id.org/oc/meta/id/06502146005,,https://w3id.org/oc/meta/ar/06509656864,https://w3id.org/oc/meta/re/06501678642,https://w3id.org/oc/meta/br/06502246915,http://purl.org/spar/fabio/JournalArticle
